image_path,label,caption
fire_dataset_combined/image1.jpg,no fire,"The image shows a cozy living room with a fireplace, a potted plant, a lamp, and a painting on the wall. The room appears to be well-lit and decorated."
fire_dataset_combined/image2.jpg,no fire,"The image shows a neatly arranged bedroom with a large bed covered in a blue and white checkered comforter. The room features a wooden desk with a lamp, a chair, and a few framed pictures on the wall. There is also a nightstand with a lamp and a small clock. The walls are painted in a light color, and the overall lighting is warm."
fire_dataset_combined/image3.jpg,no fire,"The image shows a dining area with a wooden table and four chairs. On the table, there is a bowl containing pine cones. The room appears to be a living space with a carpeted floor."
fire_dataset_combined/image4.jpg,no fire,"The image shows a modern office space with large windows, a long wooden table with red chairs, and a television mounted on the wall. The room has a minimalist design with concrete walls and a polished floor. There are no visible signs of fire or smoke."
fire_dataset_combined/image5.jpg,no fire,The image shows a hospital room with a patient's bed covered in white sheets. There is a tray with food and a bottle on the bedside table. A chair with a pillow and a blanket is visible next to the bed. The room has a window with green curtains and a flower arrangement on the windowsill. There is also a medical device hanging on the wall.
fire_dataset_combined/image6.jpg,no fire,"The image shows a cozy dining area with a round table set for a meal. The table is adorned with a colorful place mat, a woven basket containing pineapples, a pitcher, and a plate with bread and pickles. There are two chairs with patterned cushions, and a lamp with a black shade is visible on a side table. The room has a warm, inviting atmosphere with a window, curtains, and a decorative mirror."
fire_dataset_combined/image7.jpg,no fire,"The image shows a bedroom with a bed covered in a yellow blanket and pillows. There is a desk with a chair next to it, a lamp on the floor, and a painting on the wall. The room has wooden flooring and a window with blinds."
fire_dataset_combined/image8.jpg,no fire,"The image shows an office setting with two computer monitors on a desk, a chair, and various items such as papers, a printer, and a telephone. The walls are adorned with numerous patches or badges."
fire_dataset_combined/image9.jpg,no fire,"The image shows a cozy bedroom with a four-poster bed covered in a floral-patterned bedspread. The room has pink walls, a white radiator, and a window with a view of greenery outside. There is a framed picture on the wall and a mirror above a wooden dresser. The ceiling has a decorative pattern, and there are two lamps on either side of the bed."
fire_dataset_combined/image10.jpg,no fire,"The image shows a modern office space with large windows, a desk with a laptop, a chair, and a sofa with pillows. The room has a clean and organized appearance."
fire_dataset_combined/image11.jpg,no fire,"The image depicts a cozy room with light blue walls, wooden floors, and large windows covered by white curtains. There is a red armchair, a wooden dresser with a mirror, and a bed with a red headboard. The room has a warm and inviting atmosphere."
