image_path,caption,label
fire_dataset_2_augmented/image1137_aug_1.jpg,"The image shows a living room with a table on fire. There is smoke rising from the flames, and the room appears to be well-lit.",dangerous fire
fire_dataset_2_augmented/image1123_aug_5.jpg,"The image shows a building engulfed in flames with thick smoke rising from the structure. The fire appears to be intense, with bright orange and yellow flames visible.",dangerous fire
fire_dataset_2_augmented/image1128_aug_5.jpg,"The image shows a close-up view of a fire with flames and smoke visible. The fire appears to be burning in a confined space, possibly a fireplace or a similar appliance.",dangerous fire
fire_dataset_2_augmented/image1025_aug_6.jpg,"The image shows a kitchen with flames coming from the oven and microwave, indicating a dangerous fire situation.",dangerous fire
fire_dataset_2_augmented/image1088_aug_4.jpg,"The image shows a silhouette of a chair against a backdrop of intense flames, suggesting a fire scenario.",dangerous fire
fire_dataset_2_augmented/image1028_aug_1.jpg,"The image shows a bedroom with a bed that appears to be on fire. The flames are visible under the bed and around it, creating a dramatic scene. There is also a lamp on a nightstand next to the bed, and a window with curtains in the background.",dangerous fire
fire_dataset_2_augmented/image1082_aug_2.jpg,"The image shows a close-up view of a fire burning on a surface, likely a piece of furniture or fabric. The flames are intense and appear to be consuming the material.",dangerous fire
fire_dataset_2_augmented/image1041_aug_5.jpg,"The image depicts a kitchen with a large fire burning in the center, consuming the cabinets and appliances. The flames are intense and bright, casting a yellow glow throughout the scene.",dangerous fire
fire_dataset_2_augmented/image1089_aug_5.jpg,The image shows a large fire with flames and smoke rising from it. The surroundings appear to be outdoors at night.,dangerous fire
fire_dataset_2_augmented/image1137_aug_2.jpg,"The image shows a living room with a coffee table in the center. On the table, there is a cake with flames coming out of it. The room has several chairs arranged around the table, and there is a television mounted on the wall behind the table.",dangerous fire
fire_dataset_2_augmented/image1060_aug_5.jpg,"The image depicts a room with a large, burning object that appears to be a piece of furniture, possibly a couch or a bed, engulfed in flames. The fire is intense, with bright orange and yellow flames visible. The room has a dark, patterned carpet and a large window in the background through which sunlight is streaming in, creating a dramatic contrast with the fire.",dangerous fire
fire_dataset_2_augmented/image1034_aug_4.jpg,"The image depicts a room engulfed in flames with desks, computers, and chairs surrounded by intense fire. The fire appears to be spreading rapidly, creating a chaotic and dangerous environment.",dangerous fire
fire_dataset_2_augmented/image1042_aug_3.jpg,"The image shows a large building with a prominent signboard displaying text in Chinese characters. There is a significant fire burning inside the building, with flames and smoke billowing out from the windows. Several vehicles, including police cars, are parked outside the building.",dangerous fire
fire_dataset_2_augmented/image1037_aug_2.jpg,"The image depicts a cozy living room with warm lighting. There is a fireplace with a lit fire, several candles on a coffee table, and a comfortable couch adorned with pillows. The walls are decorated with framed pictures, and there is a door in the background.",controlled fire
fire_dataset_2_augmented/image1143_aug_7.jpg,"The image shows a room with a Christmas tree on fire. The tree is surrounded by wrapped presents and decorations. The flames are intense, and the room appears to be in disarray due to the fire.",dangerous fire
fire_dataset_2_augmented/image1142_aug_2.jpg,"The image shows a living room with a couch and a coffee table. There is a large fire burning behind the couch, consuming the furniture and creating a significant amount of smoke. The walls and ceiling appear to be affected by the fire.",dangerous fire
fire_dataset_2_augmented/image1049_aug_2.jpg,"The image shows a kitchen with multiple burners on a stove, each containing a pot. The pots are on fire, with flames rising from them, indicating a dangerous fire situation.",dangerous fire
fire_dataset_2_augmented/image1053_aug_2.jpg,The image shows a close-up view of a fire with intense flames and smoke rising from it. The background appears to be an indoor setting with some furniture visible.,dangerous fire
fire_dataset_2_augmented/image1117_aug_4.jpg,"The image shows a room with a large, brightly lit Christmas tree in the center. The tree is surrounded by several wrapped presents and decorations. The room appears to be a kitchen or dining area, with tiled walls and a countertop visible in the foreground.",dangerous fire
fire_dataset_2_augmented/image1091_aug_7.jpg,"The image shows a fire extinguisher mounted on a wall with flames visible around it, suggesting a dangerous fire situation.",dangerous fire
fire_dataset_2_augmented/image1133_aug_7.jpg,"The image shows a power strip with multiple cords plugged into it, some of which are emitting flames and smoke, indicating a potential electrical fire hazard.",dangerous fire
fire_dataset_2_augmented/image1083_aug_1.jpg,"The image shows a tall building at night with a bright flame visible near the top, suggesting a fire or explosion. The sky is dark, and there are other buildings in the background.",dangerous fire
fire_dataset_2_augmented/image1039_aug_6.jpg,"The image shows a group of people gathered around a campfire at night. The campfire is emitting smoke and sparks, and there are trees and a bridge visible in the background.",controlled fire
fire_dataset_2_augmented/image1064_aug_2.jpg,"The image depicts a bedroom with a large bed engulfed in flames. The room appears to be on fire, with smoke and flames visible, and the walls and furniture are damaged by the heat.",dangerous fire
fire_dataset_2_augmented/image1116_aug_7.jpg,"The image shows a close-up view of flames burning brightly against a dark background. The flames appear to be from a controlled fire, such as a campfire or a fireplace.",controlled fire
fire_dataset_2_augmented/image1105_aug_5.jpg,"The image depicts a kitchen with flames and smoke emanating from the stove area, indicating a dangerous fire situation.",dangerous fire
fire_dataset_2_augmented/image1033_aug_5.jpg,"The image depicts a kitchen with intense flames engulfing the stove and oven. There is thick smoke rising from the fire, indicating a dangerous situation.",dangerous fire
fire_dataset_2_augmented/image1130_aug_6.jpg,"The image shows a close-up view of a fire extinguisher with a red and white label indicating it is a fire extinguisher. The background appears to be a textured surface, possibly a wall or a piece of furniture.",no fire
fire_dataset_2_augmented/image1115_aug_4.jpg,"The image shows a living room with a couch on fire. The fire is emitting smoke, and there is a temperature gauge indicating a high temperature of 39°C. The time displayed is 00:27.",dangerous fire
fire_dataset_2_augmented/image1051_aug_5.jpg,"The image shows a room with a couch engulfed in flames, emitting thick smoke. The room appears to be a living area with furniture and decor visible.",dangerous fire
fire_dataset_2_augmented/image1124_aug_7.jpg,"The image shows a living room with a television on a stand to the left. There is a couch and a chair in the center, with a lamp on a table between them. The walls have framed pictures, and there is a window on the right side with curtains. The ceiling is on fire, with flames and smoke visible, indicating a dangerous fire situation.",dangerous fire
fire_dataset_2_augmented/image1033_aug_2.jpg,"The image depicts a kitchen with intense flames engulfing various appliances and items. The kitchen appears to be in disarray, with debris scattered around and smoke rising from the fire.",dangerous fire
fire_dataset_2_augmented/image1082_aug_1.jpg,The image shows a close-up view of a fire burning on a surface covered with a yellow cloth. The flames are intense and appear to be consuming the fabric.,dangerous fire
