context,label
Fire on the garage,Dangerous fire
People walking in the city,No fire
A stove glowing at night,Controlled fire
Outdoor evening with a stove,Controlled fire
Fire on a campfire during a celebration,Controlled fire
Fire inside a birthday cake in a home,Controlled fire
Fire burning in a fireplace indoors,Controlled fire
Fire detected near the roof,Dangerous fire
Busy airport,No fire
Fire on a oil lamp during a celebration,Controlled fire
Fire used for warmth in a grill,Controlled fire
Cooking using a oil lamp,Controlled fire
Fire detected near the ceiling,Dangerous fire
Crowded mall,No fire
Crowded mall,No fire
Fire inside a oil lamp in a home,Controlled fire
Fire used for warmth in a lantern,Controlled fire
Fire used for warmth in a fireplace,Controlled fire
Fire used for warmth in a candle,Controlled fire
Emergency in the trash bin due to fire,Dangerous fire
Fire burning in a stove indoors,Controlled fire
Large flames engulfing the roof,Dangerous fire
Fire used for warmth in a fireplace,Controlled fire
Fire detected near the garage,Dangerous fire
Uncontrolled fire spreading in the office,Dangerous fire
Smoke and fire seen in the roof,Dangerous fire
People walking in the city,No fire
Fire on a lantern during a celebration,Controlled fire
Fire on a oil lamp during a celebration,Controlled fire
Fire used for warmth in a campfire,Controlled fire
Fire burning through the garage,Dangerous fire
Cooking using a campfire,Controlled fire
A street market,No fire
A cozy room with a bonfire,Controlled fire
Empty hallway,No fire
A campfire is lit in the dark,Controlled fire
Fire burning in a lantern indoors,Controlled fire
Fire detected near the wall,Dangerous fire
Smoke and fire seen in the ceiling,Dangerous fire
People escaping a fire in the trash bin,Dangerous fire
People escaping a fire in the wall,Dangerous fire
Fire inside a oil lamp in a home,Controlled fire
Cooking using a oil lamp,Controlled fire
Fire used for warmth in a match stick,Controlled fire
People escaping a fire in the curtains,Dangerous fire
Smoke and fire seen in the forest,Dangerous fire
Fire inside a grill in a home,Controlled fire
Fire used for warmth in a stove,Controlled fire
A oil lamp glowing at night,Controlled fire
Fire used for warmth in a stove,Controlled fire
A cozy room with a bonfire,Controlled fire
Fire detected near the ceiling,Dangerous fire
Fire burning through the garage,Dangerous fire
Fire burning in a fireplace indoors,Controlled fire
A closed restaurant,No fire
Fire on a campfire during a celebration,Controlled fire
Uncontrolled fire spreading in the curtains,Dangerous fire
Fire detected near the trash bin,Dangerous fire
Smoke and fire seen in the ceiling,Dangerous fire
Fire inside a birthday cake in a home,Controlled fire
Outdoor evening with a lantern,Controlled fire
Children blowing out a match stick,Controlled fire
Fire used for warmth in a oil lamp,Controlled fire
Cooking using a lantern,Controlled fire
Fire destroying property in the office,Dangerous fire
Children blowing out a fireplace,Controlled fire
A person working on a laptop,No fire
Fire inside a campfire in a home,Controlled fire
Fire destroying property in the gas station,Dangerous fire
A peaceful beach,No fire
Children blowing out a fireplace,Controlled fire
Fire on the gas station,Dangerous fire
Explosions caused by fire in the vehicle,Dangerous fire
Fire destroying property in the gas station,Dangerous fire
Smoke and fire seen in the wall,Dangerous fire
Fire used for warmth in a grill,Controlled fire
Fire used for warmth in a campfire,Controlled fire
Fire burning through the trash bin,Dangerous fire
Large flames engulfing the curtains,Dangerous fire
Fire on the curtains,Dangerous fire
Fire on a match stick during a celebration,Controlled fire
Emergency in the trash bin due to fire,Dangerous fire
Bus station,No fire
Uncontrolled fire spreading in the trash bin,Dangerous fire
Cooking using a match stick,Controlled fire
A closed restaurant,No fire
Fire burning in a campfire indoors,Controlled fire
Fire burning through the bed,Dangerous fire
Fire used for warmth in a campfire,Controlled fire
Fire on the forest,Dangerous fire
Fire used for warmth in a stove,Controlled fire
A park in spring,No fire
A park in spring,No fire
Fire used for warmth in a campfire,Controlled fire
Bus station,No fire
A peaceful beach,No fire
A birthday cake glowing at night,Controlled fire
A stove is lit in the dark,Controlled fire
A closed restaurant,No fire
Fire burning in a fireplace indoors,Controlled fire
A peaceful beach,No fire
A stove glowing at night,Controlled fire
Fire burning through the curtains,Dangerous fire
A grill glowing at night,Controlled fire
People escaping a fire in the curtains,Dangerous fire
A person working on a laptop,No fire
A dog playing in the yard,No fire
Fire burning in a candle indoors,Controlled fire
Fire burning through the bed,Dangerous fire
Fire used for warmth in a grill,Controlled fire
Smoke and fire seen in the office,Dangerous fire
Fire on the living room,Dangerous fire
Large flames engulfing the trash bin,Dangerous fire
A cozy room with a lantern,Controlled fire
Outdoor evening with a grill,Controlled fire
A campfire glowing at night,Controlled fire
Smoke and fire seen in the roof,Dangerous fire
A lantern is lit in the dark,Controlled fire
Morning traffic,No fire
Fire detected near the wall,Dangerous fire
Large flames engulfing the kitchen,Dangerous fire
Fire on the office,Dangerous fire
Uncontrolled fire spreading in the bed,Dangerous fire
Empty hallway,No fire
Fire inside a lantern in a home,Controlled fire
