image_path,label,caption
FIRENET/train/image1.jpg,dangerous fire,"The image shows a car engulfed in flames on a road, with thick black smoke rising from the fire. Other vehicles are parked nearby, and the scene appears to be in an urban setting."
FIRENET/train/image2.jpg,dangerous fire,"The image shows a scene of a fire on the side of a road. A vehicle is on fire, emitting flames and smoke. There are people in yellow uniforms, likely firefighters, attending to the fire. The surrounding area appears to be a rural or semi-rural setting with dry grass and power lines in the background."
FIRENET/train/image3.jpg,controlled fire,A person holding a lit cigarette with smoke rising from it.
FIRENET/train/image4.jpg,controlled fire,The image shows a single cupcake with pink frosting and a lit candle on a white surface against a dark background.
FIRENET/train/image5.jpg,dangerous fire,"A car is engulfed in flames on a street, with firefighters nearby. The car's wheels are visible, and there is thick smoke rising from the fire."
FIRENET/train/image6.jpg,controlled fire,A person holding a lit cigarette in a dimly lit room.
FIRENET/train/image7.jpg,controlled fire,"The image shows two lit candles, one yellow and one blue, placed on a surface with a red candle holder in the foreground. The candles are surrounded by a warm, cozy atmosphere."
FIRENET/train/image8.jpg,dangerous fire,"A race car on fire with flames and smoke billowing from it. A person in an orange jumpsuit is standing next to the car, seemingly trying to extinguish the fire."
FIRENET/train/image9.jpg,dangerous fire,"The image shows a scene with a car on fire in the background, and two individuals standing nearby. The car's engine compartment is engulfed in flames, and there is a person lying on the ground in front of the car."
FIRENET/train/image10.jpg,controlled fire,"Two individuals in school uniforms are standing close together, with one person holding a cigarette and the other holding a lighter. The background appears to be outdoors with greenery."
FIRENET/train/image11.jpg,dangerous fire,"A race car is on fire with flames and smoke billowing from it. The car is surrounded by orange safety barriers and several people in orange uniforms, likely race crew members, who appear to be trying to manage the situation."
FIRENET/train/image12.jpg,dangerous fire,"A truck is engulfed in flames, with thick smoke billowing from the back. The truck's license plate is visible, and there is a car parked nearby."
FIRENET/train/image13.jpg,controlled fire,"A firefighter is training with a controlled fire demonstration at a fire station. The fire is contained within a metal container, and the firefighter is using a hose to manage the flames."
FIRENET/train/image14.jpg,dangerous fire,"A vehicle is engulfed in flames, with thick smoke billowing from the front of the car. The fire appears to be spreading rapidly."
FIRENET/train/image15.jpg,dangerous fire,"A vehicle is engulfed in flames, with thick black smoke rising from the fire. The vehicle appears to be a camper van, and there are trees and a house in the background."
FIRENET/train/image16.jpg,dangerous fire,"A car is on fire with flames engulfing the rear section. A person stands nearby, seemingly observing the incident. Another individual is seen in the background, possibly recording the event. The scene appears to be outdoors, with a fence and some greenery in the background."
FIRENET/train/image17.jpg,dangerous fire,"The image shows a bus engulfed in flames on the side of a road, with thick smoke rising from the fire. The bus appears to be on fire, and there are no visible signs of controlled fire or danger."
FIRENET/train/image18.jpg,dangerous fire,"A truck is on fire at night, with flames and smoke billowing from the back of the vehicle. The scene appears to be in an urban area with streetlights and other vehicles visible in the background."
FIRENET/train/image19.jpg,dangerous fire,A pickup truck is on fire with flames and smoke billowing from it. The truck is parked on a street with other vehicles and buildings in the background.
FIRENET/train/image20.jpg,dangerous fire,"The image shows a car engulfed in flames with thick black smoke billowing from the vehicle. The scene appears to be outdoors in a flat, open area with no visible structures nearby."
FIRENET/train/image21.jpg,dangerous fire,"A car is engulfed in flames on a street, with thick black smoke rising from the fire. The car's license plate is visible, and there are other vehicles and buildings in the background."
FIRENET/train/image22.jpg,dangerous fire,"The image shows a scene of a fire burning on the side of a road. There is thick black smoke rising from the flames, which appear to be engulfing a vehicle or container. A person is running away from the fire, indicating urgency."
FIRENET/train/image23.jpg,dangerous fire,"A car is engulfed in flames, with bright orange flames and thick black smoke rising from the vehicle. The car is parked in an empty parking lot with a fence and buildings in the background."
FIRENET/train/image24.jpg,controlled fire,"A person is lighting a cigarette using a lighter, with smoke rising from the cigarette."
FIRENET/train/image25.jpg,dangerous fire,The image shows a bus engulfed in flames with thick black smoke billowing from the vehicle. The bus is on a road with some greenery and buildings in the background.
FIRENET/train/image26.jpg,dangerous fire,"The image shows a car on fire on a road surrounded by trees. The car is engulfed in flames, and there is thick smoke rising from the vehicle."
FIRENET/train/image27.jpg,dangerous fire,"A large truck with the brand name 'SWIFT' on its side is engulfed in flames. The fire is intense, with bright orange flames and thick smoke billowing from the rear of the trailer. The surrounding area appears to be a grassy field with a few scattered objects and a road sign visible in the background."
FIRENET/train/image28.jpg,controlled fire,"The image shows a lit candle placed on a wooden surface, with a warm glow emanating from the flame. The background features a dark, possibly wooden structure with intricate carvings."
FIRENET/train/image29.jpg,dangerous fire,"The image shows a bridge with a guardrail, and there is a large black plume of smoke rising from a fire on the bridge. The fire appears to be burning brightly, and there are trees and foliage in the background."
FIRENET/train/image30.jpg,controlled fire,"The image shows a controlled fire burning brightly at night. The flames are contained within a circular area, and there are no signs of danger, spread, panic, or damage in the surroundings."
FIRENET/train/image31.jpg,controlled fire,"The image shows a serene setting with a lit candle, a pink flower, and a wooden bowl containing white powder. There are also two small white objects that resemble candles or candles."
FIRENET/train/image32.jpg,dangerous fire,"The image shows a building on fire with flames and smoke billowing from the windows and roof. A bus is also on fire nearby, with flames and smoke rising from it. The scene appears to be in an urban area with a street sign visible in the background."
FIRENET/train/image33.jpg,dangerous fire,"A news broadcast showing a house fire with flames and smoke billowing from the building at night. Emergency vehicles and personnel are present, indicating a breaking news event."
FIRENET/train/image34.jpg,controlled fire,"The image shows a controlled fire burning in a field surrounded by trees. The fire is contained within a small area, with visible flames and smoke rising from the ground."
FIRENET/train/image35.jpg,controlled fire,"A woman is cooking in a kitchen with a pot on the stove. There is a visible flame from the pot, indicating a controlled fire. The kitchen has cabinets and various utensils on the counter."
FIRENET/train/image36.jpg,dangerous fire,"A car is on fire with flames engulfing the rear section. A person stands nearby, seemingly observing the incident. Another individual is seen in the background, possibly recording the event. The scene appears to be outdoors, with a fence and some greenery in the background."
FIRENET/train/image37.jpg,controlled fire,"The image shows a lit candle placed on a wooden surface, possibly a table or altar, with a small flame burning brightly. The background appears to be indoors, with some indistinct objects and possibly other candles or lights."
FIRENET/train/image38.jpg,dangerous fire,"The image shows a large truck engulfed in flames on a highway. The truck's cab is visibly burning, with thick black smoke billowing from the front and sides. The flames are intense, and the truck appears to be stationary."
FIRENET/train/image39.jpg,controlled fire,"A hand holding a lit cigarette with a flame coming from the lighter, indicating the act of lighting the cigarette."
FIRENET/train/image40.jpg,no fire,"The image shows a person sitting on the ground with a box in front of them. There are several people and objects scattered around, including a pile of clothes and some bags. The background appears to be outdoors at night, with some lights and possibly a vehicle visible."
FIRENET/train/image41.jpg,controlled fire,"The image shows a controlled fire burning in a wooden structure, possibly a pile of logs or a small building, with flames and smoke rising from it. The area around the fire appears to be a rural or wooded setting with trees and bushes in the background."
FIRENET/train/image42.jpg,dangerous fire,The image shows a large tanker truck on a road with flames and thick black smoke billowing from it. The truck is surrounded by greenery and there are street signs visible in the background.
FIRENET/train/image43.jpg,dangerous fire,"A car is engulfed in flames on a road, with thick smoke rising from the burning vehicle. The scene appears to be outdoors, possibly in a rural area with trees and greenery in the background."
FIRENET/train/image44.jpg,controlled fire,A lit cigarette with a flame burning brightly against a dark background.
FIRENET/train/image45.jpg,controlled fire,"A person holding a lit cigarette, with a blurred background that suggests an indoor setting."
FIRENET/train/image46.jpg,dangerous fire,"A car is engulfed in flames on the side of a road, with thick black smoke billowing into the air. The car appears to be a dark-colored SUV, and there are other vehicles and trees in the background."
FIRENET/train/image47.jpg,controlled fire,"The image shows a lit candle in a glass holder, emitting a warm glow and a small flame. The background is dark, suggesting a dimly lit room or evening setting."
