image_path,label,caption
dataset_v2/image1.jpg,no fire,"The image shows a cozy living room with a fireplace, a potted plant, a lamp, and a painting on the wall. The room appears to be well-lit and decorated."
dataset_v2/image2.jpg,no fire,"The image shows a neatly arranged bedroom with a large bed covered in a blue and white checkered comforter. The room features a wooden desk with a lamp, a chair, and a few framed pictures on the wall. There is also a nightstand with a lamp and a small clock. The walls are painted in a light color, and the overall lighting is warm."
dataset_v2/image3.jpg,no fire,"The image shows a dining area with a wooden table and four chairs. On the table, there is a bowl containing pine cones. The room appears to be a living space with a carpeted floor."
dataset_v2/image4.jpg,no fire,"The image shows a modern office space with large windows, a long wooden table with red chairs, and a television mounted on the wall. The room has a minimalist design with concrete walls and a polished floor. There are no visible signs of fire or smoke."
dataset_v2/image5.jpg,no fire,The image shows a hospital room with a patient's bed covered in white sheets. There is a tray with food and a bottle on the bedside table. A chair with a pillow and a blanket is visible next to the bed. The room has a window with green curtains and a flower arrangement on the windowsill. There is also a medical device hanging on the wall.
dataset_v2/image6.jpg,no fire,"The image shows a cozy dining area with a round table set for a meal. The table is adorned with a colorful place mat, a woven basket containing pineapples, a pitcher, and a plate with bread and pickles. There are two chairs with patterned cushions, and a lamp with a black shade is visible on a side table. The room has a warm, inviting atmosphere with a window, curtains, and a decorative mirror."
dataset_v2/image7.jpg,no fire,"The image shows a bedroom with a bed covered in a yellow blanket and pillows. There is a desk with a chair next to it, a lamp on the floor, and a painting on the wall. The room has wooden flooring and a window with blinds."
dataset_v2/image8.jpg,no fire,"The image shows an office setting with two computer monitors on a desk, a chair, and various items such as papers, a printer, and a telephone. The walls are adorned with numerous patches or badges."
dataset_v2/image9.jpg,no fire,"The image shows a cozy bedroom with a four-poster bed covered in a floral-patterned bedspread. The room has pink walls, a white radiator, and a window with a view of greenery outside. There is a framed picture on the wall and a mirror above a wooden dresser. The ceiling has a decorative pattern, and there are two lamps on either side of the bed."
dataset_v2/image10.jpg,no fire,"The image shows a modern office space with large windows, a desk with a laptop, a chair, and a sofa with pillows. The room has a clean and organized appearance."
dataset_v2/image11.jpg,no fire,"The image depicts a cozy room with light blue walls, wooden floors, and large windows covered by white curtains. There is a red armchair, a wooden dresser with a mirror, and a bed with a red headboard. The room has a warm and inviting atmosphere."
dataset_v2/image12.jpg,no fire,"The image shows a hospital room with a patient bed covered in a white sheet with blue and pink trim. There is a curtain on one side of the bed, a desk with medical equipment, and a cabinet with drawers. The room has a wooden floor and a door with a sign on it."
dataset_v2/image13.jpg,no fire,"The image shows a bedroom with a wooden bed frame, a mattress, and a window with sheer curtains. The room has light-colored walls and hardwood flooring."
dataset_v2/image14.jpg,no fire,"The image shows a spacious, well-lit room with traditional Chinese decor. The room features a long wooden table with chairs, a large vase with blue and white patterns, and a potted plant. The walls are adorned with framed pictures and shelves filled with books and decorative items. The ceiling has intricate wooden carvings and a hanging light fixture."
dataset_v2/image15.jpg,no fire,The image shows a neatly made bed with white bedding and a patterned throw blanket. The room has a dark wooden headboard and a framed picture above it. There is a lamp with a white shade on the bedside table next to the bed. A door leads into another room where a desk and chair are visible.
dataset_v2/image16.jpg,no fire,"The image shows an office setting with a desk containing various items such as a computer monitor, printer, and some papers. There is also a chair and a filing cabinet in the background."
dataset_v2/image17.jpg,no fire,"The image shows a rustic room with wooden walls and a ceiling. There is a rocking horse in the foreground, a white trunk, and various items on shelves. The room appears to be well-organized and clean."
dataset_v2/image18.jpg,no fire,"The image shows a hotel room with a double bed covered in a green and blue patterned blanket. There is a wooden headboard, two purple armchairs, a small wooden table with a lamp and a book, and a framed picture of a beach scene on the wall. The carpeted floor and the overall decor suggest a standard hotel room."
dataset_v2/image19.jpg,no fire,"The image shows a neatly arranged bedroom with light-colored wooden furniture, including a bed, dresser, and desk. The room has a blue wall and a yellow carpet. There is a small potted plant on the dresser and a vase with flowers on the desk. The overall atmosphere appears clean and well-maintained."
dataset_v2/image20.jpg,no fire,"The image shows an office or medical room with a desk, computer monitor, keyboard, mouse, and a blue chair. There is a white cabinet with drawers and a counter with various items on it. The walls have posters and there is a glass door leading to another room."
dataset_v2/image21.jpg,no fire,"The image shows a well-decorated dining room with a large table set for a meal. The table is adorned with place settings, wine glasses, and floral centerpieces. A chandelier hangs from the ceiling, and the walls are decorated with framed pictures and a fireplace. The room has red chairs and yellow walls, creating a warm and inviting atmosphere."
dataset_v2/image22.jpg,no fire,"The image shows a well-lit bedroom with a large window that has partially drawn curtains. The room features a neatly made bed with a white headboard and a light-colored mattress. There is a lamp with a white shade on a bedside table to the left of the bed. The walls are painted in a light color, and there is a decorative element on the wall near the window."
dataset_v2/image23.jpg,no fire,"The image shows a well-organized home office with wooden furniture, including a desk, shelves, and a chair. The desk has a computer monitor, keyboard, and mouse, along with various items such as books, a printer, and a basket. There is also a chalkboard on the wall and a small table with a box on it."
dataset_v2/image24.jpg,no fire,"The image shows a well-furnished room with beige walls, white paneling, and a wooden dining table with four chairs. The table is set with a plate containing two pieces of bread. The room has large windows with beige curtains that have decorative tassels hanging from the top. There is a red bag placed near the window on the right side of the image."
dataset_v2/image25.jpg,no fire,"The image shows a modern, minimalist office space with a large white desk at the center. There is a potted plant to the left of the desk and a shelf with various items to the right. A hanging light fixture is visible above the desk. The room has a clean, organized appearance."
dataset_v2/image26.jpg,no fire,"The image shows a well-furnished hotel room with two double beds, a television, a nightstand with a lamp, and a large window offering a view of a city skyline and a harbor with boats. The room has beige walls and curtains, and there is a framed painting on the wall."
dataset_v2/image27.jpg,no fire,The image shows an empty office space with cubicles and large windows. The walls have text written in Chinese characters.
dataset_v2/image28.jpg,no fire,"The image shows a well-organized workspace with a wooden desk featuring a laptop, a smartphone, a notebook, and a potted cactus. There is also a lamp, a cup, and a poster on a shelf in the background. The room appears to be a home office or study area."
dataset_v2/image29.jpg,no fire,"The image shows a bedroom with a bed covered in a patterned bedspread. There are two bedside tables with lamps on them, and the room has wooden flooring."
dataset_v2/image30.jpg,no fire,"The image depicts a modern office space with a large desk, two chairs, a coffee table, and decorative elements such as potted plants and hanging lamps. The room has a high ceiling with exposed beams and is illuminated by a chandelier."
dataset_v2/image31.jpg,no fire,"The image shows a well-furnished bedroom with beige walls, wooden furniture, and a large window with dark curtains. The room features a bed with a wooden headboard, a nightstand with a lamp, and a dresser with a mirror. There is a rug on the floor and a wicker ottoman next to the bed."
dataset_v2/image32.jpg,no fire,"The image shows a well-lit living room with a large window covered by white curtains. There is a sofa with cushions, a coffee table with a few items on it, and a chair with a pillow. The room has a modern design with a mix of dark and light colors."
dataset_v2/image33.jpg,no fire,The image shows a modern conference room with a black rectangular table surrounded by six black chairs. The room has a light-colored floor and a white wall with a window that has a metal railing outside.
dataset_v2/image34.jpg,no fire,"The image shows a bedroom with a bed covered in a red blanket. There is a fan on the floor near the bed, and a television set on a stand to the right side of the room. The walls are plain, and there is a poster hanging on the wall behind the bed."
dataset_v2/image35.jpg,no fire,"The image shows a hospital room with medical equipment, including a monitor displaying blue screen, an IV stand, and a patient bed with a blanket draped over it. There is a cart with various supplies and a cabinet with drawers."
dataset_v2/image36.jpg,no fire,"The image shows a bedroom with a bed covered in a colorful blanket featuring cartoon characters. There is a window with curtains, a chair, a desk, and some items on it. The room appears to be well-lit and clean."
dataset_v2/image37.jpg,controlled fire,"The image shows a cozy dining room with a lit fireplace, wooden chairs around a table set for a meal, and a chandelier hanging from the ceiling. The room has a warm ambiance with candles and decorative elements."
dataset_v2/image38.jpg,no fire,"The image shows a modern living room with dark blue walls, wooden floors, and a light-colored ceiling. There is a tall floor lamp with two white lampshades on the left side, a wooden dresser with a small statue, a clock, and a potted plant on top, and two bookshelves filled with books on either side. A framed painting of a colorful street scene hangs on the wall above the dresser."
dataset_v2/image39.jpg,no fire,"The image depicts a well-furnished bedroom with a large bed covered in a pink and white floral bedspread. The room features a round wooden table with a vase on it, two armchairs with matching pink and white upholstery, and a window with sheer curtains. The walls are adorned with patterned wallpaper, and there is a framed picture hanging above the bed."
dataset_v2/image40.jpg,no fire,"The image shows a neatly arranged bedroom with a large bed covered in a patterned bedspread. The room has white walls, a window with sheer curtains, and two lamps on either side of the bed. There is a framed picture hanging above the bed."
dataset_v2/image41.jpg,no fire,"The image shows a well-furnished office with wooden walls, a large window with colorful curtains, a desk with a blue chair, a horse statue, and shelves filled with books and decorative items. The room appears to be clean and orderly."
dataset_v2/image42.jpg,no fire,"The image shows a small room with wooden cabinets, a sink, and a window. There is a bed with a pillow and a blanket on the left side of the room. Various items such as bottles, a microwave, and other kitchen utensils are placed on the countertop near the sink."
dataset_v2/image43.jpg,no fire,"The image shows a well-decorated bedroom with a large mirror on a dresser, a bed with a floral bedspread, two framed pictures on the wall, and a lamp. The room has purple walls, a wooden door, and a yellow carpet."
dataset_v2/image44.jpg,no fire,"The image shows a cluttered office space with a desk, computer monitor, keyboard, and chair. There is a backpack on a cart next to the desk, and shelves above the desk filled with books and other items. The room appears to be well-lit by natural light coming from a window on the right side."
dataset_v2/image45.jpg,no fire,"The image shows a room with a desk, chair, and shelves. On the desk, there is a typewriter, a cup, and some papers. The shelves have various items including books and a framed picture. There are no visible signs of fire or smoke."
dataset_v2/image46.jpg,no fire,"The image shows a well-furnished room with wooden flooring, a wooden table with a mirror above it, and two chairs. The table has a vase with flowers and a candle holder with lit candles. The room appears to be tidy and well-maintained."
dataset_v2/image47.jpg,no fire,"The image shows a well-decorated living room with a brown sofa adorned with striped pillows, a wooden coffee table, and a wicker ottoman. A black entertainment unit with a television is visible, along with a bookshelf filled with books and decorative items. The room has a cozy ambiance with a lamp on a side table and a globe on the floor."
dataset_v2/image48.jpg,no fire,"The image shows a cozy home office with a wooden desk, chair, and armchair. There is a large world map hanging on the wall, a small shelf with decorative items, and a chalkboard on the left side. The room has a carpeted floor and a ceiling light fixture."
dataset_v2/image49.jpg,no fire,"The image shows a bedroom with a bed, a nightstand with a fan, and a blue wardrobe. The room appears to be clean and well-organized."
dataset_v2/image50.jpg,no fire,"The image shows a modern office space with several desks, chairs, and a large window. The room is well-lit with overhead lights and has a clean, professional appearance."
dataset_v2/image51.jpg,no fire,"The image shows a room with a white door, a mirror reflecting part of the room, and a wall clock. The floor appears to be carpeted."
dataset_v2/image52.jpg,no fire,"The image shows a hospital room with a patient bed, a chair, a window with curtains, and medical equipment. The room appears to be clean and well-maintained."
dataset_v2/image53.jpg,no fire,The image shows a hotel room with two beds covered in blue striped sheets. There is a backpack on one of the beds and a lamp on a nightstand next to it. The room has a window with blinds and a wall-mounted clock.
dataset_v2/image54.jpg,no fire,"The image shows a cozy bedroom with a large bed covered in a colorful quilt featuring red, blue, and white stars. The room has a rocking chair against the wall, a small table with a lamp, and a window letting in natural light. There is no visible sign of fire or smoke."
dataset_v2/image55.jpg,no fire,"The image shows a well-decorated bedroom with a large bed featuring a tufted headboard. The room has a chandelier hanging from the ceiling, a window with white curtains, and a side table with a lamp. The walls are adorned with wallpaper, and there is a rug on the floor."
dataset_v2/image56.jpg,no fire,"The image shows a hotel room with two double beds covered in patterned bedspreads. The walls are decorated with framed pictures featuring nautical themes, including a sailboat and a seashell. There is a bedside table with a lamp and a telephone between the beds."
dataset_v2/image57.jpg,no fire,"The image shows a cozy living room with a beige sofa adorned with a yellow pillow, a wooden desk with a lamp and a digital clock displaying ""3:56"", a potted plant, and a vase with sunflowers. The room has a modern and minimalist design with light-colored walls and a wooden floor."
dataset_v2/image58.jpg,no fire,"The image shows a neatly arranged bedroom with a bed covered in a blue and white patterned blanket. The room has large windows with white curtains, allowing natural light to fill the space. There is a radiator under the window and a standing lamp next to the bed."
dataset_v2/image59.jpg,no fire,The image shows a bedroom with a floral-patterned bedspread covering a bed. The room has a window with a light-colored frame and a decorative floral design on the wall above the bed.
dataset_v2/image60.jpg,no fire,"The image shows a cozy dining room with a fireplace, wooden chairs, a table set for dinner, and a chandelier hanging from the ceiling. The room has a warm ambiance with candles and a vase of flowers on the table."
dataset_v2/image61.jpg,no fire,"The image shows a cozy dining area with a wooden table and chairs. The table is set with a blue tablecloth and has a vase of sunflowers on it. There is a small shelf above the table with various decorative items, including a clock and a figurine. A window with a view of trees and a map hanging on the wall can be seen in the background. The room appears to be well-lit and clean."
dataset_v2/image62.jpg,no fire,"The image shows a well-organized office space with a wooden desk, chair, and bookshelves filled with books and other items. There is a vintage computer monitor on the desk, and the room appears clean and tidy."
dataset_v2/image63.jpg,no fire,"The image depicts a modern living room with a beige sofa adorned with blue and white cushions. There are two small side tables with flower arrangements on them. The room features a bookshelf filled with books and decorative items, a lamp, and a green ottoman. The overall ambiance is clean and well-lit."
dataset_v2/image64.jpg,no fire,"The image shows a bedroom with a large bed covered in a floral bedspread. The room has a window with a curtain, a mirror on the wall, and a dresser with various items on it. There is no visible sign of fire or smoke."
dataset_v2/image65.jpg,no fire,"The image shows a bedroom with pink walls, a window with yellow floral curtains, a bed with a white blanket and pillows, a television on a stand, and a basket next to the bed. The room appears to be well-lit and clean."
dataset_v2/image66.jpg,no fire,"The image shows a cozy living room with a beige sofa adorned with colorful cushions and pillows. A glass table holds a vase of sunflowers and several books. The room features large windows with white curtains, allowing natural light to fill the space. There is also a striped ottoman and a small mirror on the wall."
dataset_v2/image67.jpg,no fire,"The image shows a well-lit, modern office space with a wooden desk, a chair, a lamp, a book, a cup, and several potted plants. The room has large windows that let in natural light, and there is a rug on the floor."
dataset_v2/image68.jpg,no fire,"The image shows a neatly made bed with a beige and brown comforter, surrounded by two lamps on either side of the bed. There is a framed picture hanging above the bed and a nightstand with a telephone and a small box on it. The room has beige walls and carpeted flooring."
dataset_v2/image69.jpg,no fire,"The image shows an office space with several desks, computers, and office supplies. The room is well-lit with hanging pendant lights and has large windows allowing natural light to enter. There are no visible signs of fire or smoke."
dataset_v2/image70.jpg,no fire,"The image shows a well-lit bedroom with beige walls, a large bed covered with a striped blanket, and a wooden wardrobe. There is a round window above the bed and a small potted plant on top of the wardrobe. The room appears to be clean and tidy."
dataset_v2/image71.jpg,no fire,"The image shows a cluttered office space with a desk containing a computer monitor, keyboard, mouse, and various items. There is a chair with a colorful tie-dye blanket draped over it, a lamp, and a guitar leaning against the wall. The room has shelves with books, papers, and other miscellaneous items. A sign reading 'MAY' is visible on the wall."
dataset_v2/image72.jpg,no fire,"The image shows an office or conference room with multiple wooden desks arranged in rows, each accompanied by chairs. The room has a modern design with large windows and a decorative archway in the background."
dataset_v2/image73.jpg,no fire,"The image shows a modern bedroom with light-colored walls and wooden furniture. The room features a large bed with a wooden headboard, a nightstand with a lamp, and a dresser with drawers. There is a window with blue blinds, a vase with plants, and various decorative items on shelves above the bed. The floor is tiled, and there are some shoes and a pair of boots near the bed."
dataset_v2/image74.jpg,no fire,"The image shows a modern office space with a large window offering a view of a cityscape. The room features a white desk with a computer monitor, a black office chair, and a lamp. To the left, there is a bookshelf filled with books and decorative items. On the right side, there is a white sofa with pillows and a framed picture on the wall. The ceiling has a modern light fixture."
dataset_v2/image75.jpg,no fire,"The image shows a modern, well-lit room with a minimalist design. There is a desk with a computer monitor, a chair, and shelves with books and decorative items. The walls are painted white, and there is a yellow accent wall behind the desk. The floor is made of wooden planks, and there is a wardrobe on the left side of the room. A small plant is placed on a shelf next to the desk."
dataset_v2/image76.jpg,no fire,"The image shows a bedroom with a bed covered in a striped blanket. There is a window with curtains drawn back, revealing a balcony with a railing. The room has beige walls and a ceiling with recessed lighting."
dataset_v2/image77.jpg,no fire,"The image shows a cozy home office with a desk, chair, lamp, and various decorative items. There is a colorful rug on the floor, and a window with sheer curtains allowing natural light to filter through. The room appears well-organized and tidy."
dataset_v2/image78.jpg,no fire,"The image depicts a modern office space with wooden walls, a desk, two chairs, a bookshelf, a TV, and decorative items such as a vase and a framed picture. The room has a clean and organized appearance."
dataset_v2/image79.jpg,no fire,"The image shows an office space with yellow walls, large windows, and modern furniture including desks, chairs, and computer monitors. The floor is tiled, and there are potted plants and lamps present. The room appears to be well-lit and clean."
dataset_v2/image80.jpg,no fire,"The image shows a room with a desk covered by a colorful tablecloth, a chair, and various items on the desk including a camera and some bottles. There is a curtain partially drawn to the left side of the room, and a wall with several posters and decorations. The floor appears to be carpeted."
dataset_v2/image81.jpg,no fire,"The image shows an office setting with two desks, chairs, a lamp, and a window with blinds. The room appears to be well-lit and clean."
dataset_v2/image82.jpg,no fire,The image shows a hospital room with a patient bed and a chair near a large window with a view of city buildings. The floor appears to be made of polished tiles.
dataset_v2/image83.jpg,no fire,"The image shows a well-decorated dining room with a table set for a meal. The table is adorned with a red tablecloth, white plates, and glasses. There are chairs around the table with orange cushions. A large chandelier hangs from the ceiling, and a painting is displayed on the wall. The room has a cozy ambiance with a rug on the floor and a view of the outdoors through a window."
dataset_v2/image84.jpg,no fire,"The image shows a modern office space with a large window, a wooden desk with a chair, a lamp, a computer monitor displaying a video call, shelves filled with books and decorative items, and a potted plant. The room has a clean and organized appearance."
dataset_v2/image85.jpg,no fire,"The image shows an empty room with a window, a wall-mounted air conditioning unit, and a wooden floor. The room appears to be well-lit and clean."
dataset_v2/image86.jpg,no fire,"The image shows a hospital room with a patient bed, medical equipment, and various supplies. The room appears to be clean and well-organized."
dataset_v2/image87.jpg,no fire,"The image shows a well-decorated dining room with a wooden table set for a meal. The table is adorned with place settings, including plates, napkins, and a centerpiece. There are chairs around the table with white cushions. A large wooden china cabinet stands behind the table, filled with various items such as glassware, decorative pieces, and possibly food. The walls are painted in a light color, and there are floral decorations hanging on the wall. The overall atmosphere appears to be cozy and inviting."
dataset_v2/image88.jpg,no fire,"The image shows a well-decorated dining area with a blue and white color scheme. There is a table set with plates, glasses, and a vase of yellow flowers. The chairs have checkered cushions and are positioned around the table. A clock is hanging on the wall above the table, and there is a window with a view of greenery outside."
dataset_v2/image89.jpg,no fire,"The image depicts a cozy bedroom with a bed covered in a teal quilt and purple pillows, a nightstand with a lamp, and a window with purple curtains. The walls are adorned with dark green wallpaper featuring a subtle pattern."
dataset_v2/image90.jpg,no fire,"The image shows a bedroom with a bed covered in a dark blanket, a coffee table with various items including a candle, and a glass cabinet with a few objects on top. There is a poster on the wall and a picture frame next to it. The room appears to be well-lit, and there are no visible signs of fire or smoke."
dataset_v2/image91.jpg,no fire,"The image depicts a cozy bedroom with a large bed covered in a floral comforter. The room features a wooden dresser with various items on top, including books, a small statue, and a framed picture. There is a potted plant near the window, and the room has a warm, inviting atmosphere with soft lighting."
dataset_v2/image92.jpg,no fire,"The image shows a cozy dining area with a wooden table covered by a colorful tablecloth. The room has teal walls, a wooden cabinet, and various decorations including a vase, a basket, and a lantern. There is a green door with a poster on it, and a small light fixture on the wall."
dataset_v2/image93.jpg,controlled fire,"The image shows an outdoor stone fireplace with a roaring fire inside. The fireplace is surrounded by a stone wall and has a wooden mantel above it. There are several potted plants nearby, and the area appears to be part of a larger, well-decorated indoor space with stone walls and wooden beams."
dataset_v2/image94.jpg,no fire,"The image shows a well-lit dining room with a round wooden table and four matching chairs. A vase with greenery is placed on the table. The room has large windows with white frames, allowing natural light to flood in. Outside, through the windows, there is a glimpse of a pool area with a blue pool and some greenery."
dataset_v2/image95.jpg,no fire,"The image shows a well-lit room with a hospital bed in the foreground. There is a blue sofa, a small round table with a vase, and a chair. A red lamp stands next to the table. The room has large windows with blinds, allowing natural light to enter. A painting hangs on the wall, and there is a calendar on the wall."
dataset_v2/image96.jpg,no fire,"The image shows a modern office space with large windows offering a view of a city skyline. The room features a glass-top desk with two black chairs, a wooden cabinet with glass doors, and a colorful abstract painting on the wall. There is no visible sign of fire or smoke."
dataset_v2/image97.jpg,no fire,"The image shows a hospital room with medical equipment, including a bed, an IV stand, and a monitor. There is a window with curtains, a chair, and a potted plant. The room appears to be well-lit and clean."
dataset_v2/image98.jpg,no fire,"The image shows a cozy bedroom with two twin beds covered in floral bedding. The room has a slanted ceiling, a small desk with a lamp, and a window with light filtering through. The carpet is dark blue, and there is a chair near the desk."
dataset_v2/image99.jpg,no fire,"The image shows a hospital room with two beds. One bed has a child lying on it, while the other bed is empty. There are medical equipment and supplies visible around the beds. The walls are painted green, and there is a window with white curtains allowing natural light into the room."
dataset_v2/image100.jpg,no fire,"The image shows a cozy bedroom with a floral-patterned bedspread, a wooden headboard, and a bedside table with a lamp. There is a pink armchair near a window with a view of trees and mountains. The room has a warm and inviting atmosphere."
dataset_v2/image101.jpg,no fire,"The image shows a well-organized workspace with two computer monitors, a keyboard, a mouse, and various books arranged on shelves. There is also a chair and a desk lamp. The room appears to be a home office or study area."
dataset_v2/image102.jpg,no fire,"The image shows a cozy bedroom with wooden furniture, including a bed with a floral bedspread, a dresser, and a side table. The room has a warm, inviting atmosphere with a lamp, a vase of flowers, and decorative items on shelves. The floor is covered with red tiles, and there is a window with patterned curtains."
dataset_v2/image103.jpg,no fire,"The image shows a dimly lit room with a round dining table covered in a dark tablecloth. The table is set with plates, silverware, and a centerpiece featuring flowers and candles. There are chairs around the table, and the walls are adorned with framed pictures. The ceiling has a red border, and there is a staircase leading to another level in the background."
dataset_v2/image104.jpg,no fire,"The image shows an office setting with large windows, a conference table with water bottles and apples, and several chairs arranged around it. There is a lamp with a red shade on the right side of the table."
dataset_v2/image105.jpg,no fire,"The image shows a modern office or classroom with several desks arranged in rows. Each desk has a computer monitor, keyboard, and mouse. The room has large windows with blinds, and there is a person sitting at one of the desks. The lighting appears to be from overhead fixtures."
dataset_v2/image106.jpg,no fire,"The image shows a well-furnished living room with a traditional design. There is a wooden door with a decorative frame, a large mirror on the wall, and a sofa with a wooden armrest. The room has a high ceiling with exposed beams and a chandelier hanging from it. The walls are painted white, and there is a window with curtains."
dataset_v2/image107.jpg,no fire,"The image shows a neatly arranged bedroom with a white bed, a white wardrobe with three doors, and pink curtains covering a window. The room has wooden flooring and a light-colored wall."
dataset_v2/image108.jpg,no fire,"The image shows a neatly arranged bedroom with two beds covered in yellow bedding. Above one bed is a framed painting depicting red flowers. To the right of the beds, there is a nightstand with a telephone and a lamp. The room has beige walls and a door leading to another room."
dataset_v2/image109.jpg,no fire,"The image shows an office setting with a large wooden desk, chairs, a whiteboard, and various items on the desk such as a plant, bottles, and a small statue. The room has large windows with blinds, and there is a red fire extinguisher mounted on the wall."
dataset_v2/image110.jpg,no fire,"The image shows an office with several desks arranged in rows, each equipped with computer monitors, keyboards, and chairs. The walls are adorned with green plants and some posters. The ceiling has fluorescent lights, and there is a large window allowing natural light to enter."
dataset_v2/image111.jpg,no fire,"The image shows a bedroom with a bed covered in a colorful quilt, a wooden dresser with a laptop and other items, and a bookshelf filled with books and decorative items. The room has wooden flooring and a door leading to another room."
dataset_v2/image112.jpg,no fire,"The image shows a cozy living room with a blue sofa adorned with blue pillows, a wooden chair, and a small table. A bookshelf filled with books is visible in the foreground, and a window with sheer curtains allows natural light to filter into the room."
dataset_v2/image113.jpg,no fire,"The image shows a hospital room with several medical beds arranged in a row. The beds have blue and orange sheets, and there are curtains hanging from the ceiling. The room appears to be clean and well-lit."
dataset_v2/image114.jpg,no fire,The image shows a neatly arranged hotel room with a bed covered in a quilted blanket. There is a bedside table with a lamp and a telephone next to the bed. The room has a framed picture on the wall above the bed and a window with curtains on the right side.
dataset_v2/image115.jpg,no fire,"The image shows a modern office conference room with large windows, a long rectangular table, and several chairs arranged around it. The room is well-lit with natural light coming through the windows and artificial lights on the ceiling."
dataset_v2/image116.jpg,no fire,"The image shows a well-lit dining room with a wooden table surrounded by four chairs. The table is empty, and there is a fireplace in the background with a mantel decorated with flowers and a mirror. The room has wooden floors and large windows allowing natural light to fill the space."
dataset_v2/image117.jpg,no fire,"The image shows a bedroom scene with a nightstand featuring a lamp, a telephone, a remote control, and a small card. The room has a cozy ambiance with a colorful blanket draped over a chair."
dataset_v2/image118.jpg,no fire,"The image shows an empty office with large windows overlooking a cityscape. There are two desks with chairs, and the room is well-lit by natural light coming through the windows. The ceiling has several air conditioning units."
dataset_v2/image119.jpg,no fire,"The image shows a well-decorated bedroom with a canopy bed, wooden floors, a patterned rug, a chair, two lamps, and a ceiling fan. The room has large windows with blinds, and there is a decorative mirror on the wall."
dataset_v2/image120.jpg,no fire,"The image shows a bedroom with a wooden bed frame, a dresser, and a mirror. The bed is made with white bedding and pillows, and there are framed pictures on the wall above the bed."
dataset_v2/image121.jpg,no fire,"The image shows an office or meeting room with a wooden desk, two chairs, a lamp, and a framed picture on the wall. There is a door leading to another room, and a small table with a lamp next to it. The floor appears to be carpeted."
dataset_v2/image122.jpg,no fire,"The image shows a dining room with a wooden table set for four people. The table is adorned with a place mat, a teapot, and cups. There are four chairs around the table, each with a floral pattern. The room has a wooden floor and walls, with a lamp and a framed picture visible in the background. The overall setting appears to be a well-maintained and clean dining area."
dataset_v2/image123.jpg,no fire,The image shows a neatly arranged bedroom with two twin beds covered in beige bedding. The beds have white pillows and colorful throw pillows. A bedside table with a lamp is visible next to one of the beds. The room has yellow walls and a window with sheer curtains allowing natural light to filter in.
dataset_v2/image124.jpg,no fire,"The image shows a well-furnished office space with dark wooden cabinets, a desk, two chairs, a potted plant, and various decorative items. The walls are painted in a light color, and there is a window with blinds partially open."
dataset_v2/image125.jpg,no fire,"The image shows a room with a bed covered in an orange blanket. There is a window to the right side of the bed, and a piece of furniture with a white base and a wooden top is visible in the foreground."
dataset_v2/image126.jpg,no fire,"The image shows a child's playroom with various toys scattered around, including a helicopter on a table, a bed with stuffed animals, and shelves filled with books and toys. The room has a yellow and blue color scheme, with a window showing daylight outside."
dataset_v2/image127.jpg,no fire,"The image shows two neatly made beds with patterned blue and pink bedding. There is a framed picture hanging on the wall above one of the beds, and a lamp with a white shade on a bedside table next to the beds. The room appears to be well-lit by natural light coming through a window with blinds."
dataset_v2/image128.jpg,no fire,"The image shows an office with a wooden desk, two black office chairs, a large wooden cabinet, and a potted plant. The ceiling has fluorescent lights, and there is a glass partition behind the desk."
dataset_v2/image129.jpg,no fire,The image shows a bedroom with a neatly made bed covered in white sheets and pillows. There is a small table next to the bed with a lamp and a radio on it. The room has red carpeting and dark curtains covering the windows. A painting hangs on the wall above the bed.
dataset_v2/image130.jpg,no fire,"The image shows a traditional Japanese room with wooden floors, a low table, and sliding paper doors. A hanging lamp is turned on, casting light onto the table. Outside the window, there is a garden with trees and a fence. The room has a serene and peaceful atmosphere."
dataset_v2/image131.jpg,no fire,The image shows a bedroom with a bed covered in a striped quilt. The room has framed pictures on the wall above the bed and a lamp on the nightstand to the left. There is a hanging light fixture above the bed.
dataset_v2/image132.jpg,no fire,The image shows a bedroom with a large bed covered in a blue floral-patterned blanket. There is a nightstand next to the bed with a lamp and some books on it. The room has a carpeted floor and plain walls.
dataset_v2/image133.jpg,no fire,"The image shows an office with a large conference table surrounded by chairs. The room has a modern design with dark wood furniture, a carpeted floor, and large windows allowing natural light to enter. There is a phone on the table and a few bottles on the floor near the chairs."
dataset_v2/image134.jpg,no fire,The image shows a bedroom with a bed covered by a white blanket and pillows. There is a wooden headboard and a wardrobe with glass doors in the background. The room appears to be well-lit.
dataset_v2/image135.jpg,no fire,"The image shows a bedroom with a bed covered in a colorful quilt, two armchairs, a small table, and a window with curtains. The room appears to be well-lit and clean."
dataset_v2/image136.jpg,no fire,"The image shows a cozy living room with a beige sofa adorned with a red pillow and a striped blanket. A round table with a black metal frame holds a vase of sunflowers, a stack of books, and a small candle. The room has large windows with white curtains, allowing natural light to fill the space. There is no visible sign of fire or smoke."
