context,label
Cooking using a grill,Controlled fire
Fire detected near the vehicle,Dangerous fire
A person working on a laptop,No fire
A classroom with students,No fire
Fire on the wall,Dangerous fire
Uncontrolled fire spreading in the trash bin,Dangerous fire
Fire detected near the trash bin,Dangerous fire
A snowy mountain,No fire
Museum interior,No fire
Fire on a match stick during a celebration,Controlled fire
Fire on a birthday cake during a celebration,Controlled fire
Fire on a match stick during a celebration,Controlled fire
Fire detected near the vehicle,Dangerous fire
Children blowing out a stove,Controlled fire
Emergency in the wall due to fire,Dangerous fire
A street market,No fire
Fire destroying property in the vehicle,Dangerous fire
Fire burning through the curtains,Dangerous fire
Children blowing out a bonfire,Controlled fire
Smoke and fire seen in the ceiling,Dangerous fire
Outdoor evening with a stove,Controlled fire
A candle glowing at night,Controlled fire
Fire burning through the vehicle,Dangerous fire
Uncontrolled fire spreading in the wall,Dangerous fire
Fire burning through the gas station,Dangerous fire
Fire on a bonfire during a celebration,Controlled fire
Children blowing out a grill,Controlled fire
People escaping a fire in the trash bin,Dangerous fire
Children blowing out a candle,Controlled fire
Fire on a fireplace during a celebration,Controlled fire
Fire detected near the forest,Dangerous fire
Explosions caused by fire in the gas station,Dangerous fire
Uncontrolled fire spreading in the ceiling,Dangerous fire
Emergency in the kitchen due to fire,Dangerous fire
Outdoor evening with a birthday cake,Controlled fire
Fire destroying property in the forest,Dangerous fire
Fire detected near the wall,Dangerous fire
Fire detected near the office,Dangerous fire
A fireplace glowing at night,Controlled fire
Fire inside a fireplace in a home,Controlled fire
Children reading books,No fire
Cooking using a lantern,Controlled fire
Outdoor evening with a bonfire,Controlled fire
Smoke and fire seen in the ceiling,Dangerous fire
People escaping a fire in the gas station,Dangerous fire
People escaping a fire in the forest,Dangerous fire
A peaceful beach,No fire
A cozy room with a candle,Controlled fire
Fire inside a birthday cake in a home,Controlled fire
Fire detected near the ceiling,Dangerous fire
Fire inside a oil lamp in a home,Controlled fire
Cooking using a campfire,Controlled fire
Fire burning through the kitchen,Dangerous fire
Large flames engulfing the bed,Dangerous fire
Large flames engulfing the curtains,Dangerous fire
Emergency in the curtains due to fire,Dangerous fire
A cozy room with a match stick,Controlled fire
Uncontrolled fire spreading in the garage,Dangerous fire
A classroom with students,No fire
Cooking using a campfire,Controlled fire
Fire destroying property in the roof,Dangerous fire
Fire detected near the kitchen,Dangerous fire
Fire detected near the garage,Dangerous fire
Fire inside a fireplace in a home,Controlled fire
Fire on the gas station,Dangerous fire
Fire inside a oil lamp in a home,Controlled fire
Fire burning through the trash bin,Dangerous fire
A lantern is lit in the dark,Controlled fire
Smoke and fire seen in the wall,Dangerous fire
Outdoor evening with a stove,Controlled fire
Explosions caused by fire in the gas station,Dangerous fire
A classroom with students,No fire
Fire used for warmth in a oil lamp,Controlled fire
