image_path,label,caption
fine_tune_dataset/train/images/train_1.jpg,controlled fire,"The image shows a computer setup on a desk with a monitor displaying a game, a keyboard, a mouse, and a computer tower. A hand is holding a lit candle next to the computer tower, which has wires and components exposed."
fine_tune_dataset/train/images/train_2.jpg,no fire,The image shows a black trash can outdoors with a cardboard box on top. The ground around the trash can appears dry and there are some scattered leaves and twigs nearby.
fine_tune_dataset/train/images/train_3.jpg,no fire,"The image shows a living room with a large sectional sofa adorned with orange and brown pillows. A birthday cake with lit candles sits on the coffee table, and there is a television displaying a show. The room has wooden flooring, a window with curtains, and various items scattered around, including a potted plant and a small table lamp."
fine_tune_dataset/train/images/train_4.jpg,controlled fire,"The image shows a kitchen counter with various items including a blender filled with orange juice, a laptop, jars, fruits, and vegetables. There is a visible flame behind the laptop, suggesting a controlled fire."
fine_tune_dataset/train/images/train_5.jpg,controlled fire,"The image shows a room with a framed picture on the wall, a red hat on a chair, and a window with blinds. There is a visible flame on a table, indicating a controlled fire."
fine_tune_dataset/train/images/train_6.jpg,dangerous fire,"A black trash can on a dirt path with smoke rising from it, suggesting a fire inside."
fine_tune_dataset/train/images/train_7.jpg,controlled fire,"A mattress is lying on the ground outdoors, with a small flame burning at one end. The mattress appears to be part of a larger outdoor setup, possibly for a demonstration or experiment."
fine_tune_dataset/train/images/train_8.jpg,controlled fire,"The image shows a small, dimly lit area with a single flame or light source in the center, surrounded by darkness."
fine_tune_dataset/train/images/train_9.jpg,no fire,"The image shows a living room with a beige sofa, a wooden coffee table with various items including a bottle, a bowl of fruit, and a small plant. There is a television set on a stand, and a decorative mirror with a lattice design is hanging on the wall. The room has large windows with frosted glass, allowing natural light to enter. The floor is tiled, and there is a small table with a chair next to the window."
fine_tune_dataset/train/images/train_10.jpg,no fire,"The image shows a living room with a large window and a decorative screen in front of a television. The room has a modern design with a mix of furniture and decor. There is a red bottle on a table, and a small chair is placed near the window. The overall atmosphere appears calm and well-lit."
fine_tune_dataset/train/images/train_11.jpg,no fire,"The image shows a laundry facility with several washing machines and dryers. There are tables and chairs set up for customers to wait. A person is standing near a table, holding a phone. The walls have signs and posters, and there is a red light on the wall, possibly indicating an alarm or emergency."
fine_tune_dataset/train/images/train_12.jpg,controlled fire,"A white candle is lit and emitting smoke from the wick, placed on a dark surface with a blurred background."
fine_tune_dataset/train/images/train_13.jpg,controlled fire,"An aerial view of an industrial facility with several large cylindrical tanks and pipes. There is a small amount of white smoke or steam rising from one of the tanks, indicating some form of activity or process."
fine_tune_dataset/train/images/train_14.jpg,controlled fire,"The image shows a small, contained flame burning within a circular metal container filled with dark, granular material. The flame is bright and steady, indicating a controlled fire."
fine_tune_dataset/train/images/train_15.jpg,no fire,"The image shows a modern living room with a beige sofa, a white coffee table, and a fireplace. The room has wooden floors, a staircase, and a kitchen area with white cabinets. The lighting is bright, and there are no signs of fire or smoke."
fine_tune_dataset/train/images/train_16.jpg,controlled fire,"The image shows a dark, possibly indoor setting with a small flame or light source on the left side, indicating a controlled fire."
fine_tune_dataset/train/images/train_17.jpg,controlled fire,"The image shows a controlled fire burning in a stone structure surrounded by dry leaves and grass. The fire is contained within the stone structure, with visible smoke rising from the top."
fine_tune_dataset/train/images/train_18.jpg,controlled fire,"The image shows a still life arrangement featuring a red glass vase with a plant, a shell, a piece of wood, and a white spherical object on a black surface. A small amount of smoke is rising from the vase, suggesting a controlled fire."
fine_tune_dataset/train/images/train_19.jpg,controlled fire,"The image shows a rustic outdoor setting with a large metal pot placed over a fire pit. The fire pit is made of bricks and contains burning wood, with flames visibly rising. Surrounding the area are various plants, clothes hanging to dry, and a metal container on the left side."
fine_tune_dataset/train/images/train_20.jpg,controlled fire,"The image shows a living room with a dining table covered with a blue tablecloth. On the table, there is a small flame burning in a bowl, a red water bottle, and some other items. The room has a window with curtains, a framed picture on the wall, and a lamp next to the table."
