image_path,label,caption
new_images/image1219.jpg,dangerous fire,"A pot on a stove is engulfed in flames, with sparks flying around it. The kitchen has white cabinets and a tiled backsplash."
new_images/image1233.jpg,dangerous fire,"The image shows a close-up view of a fire burning brightly with flames and smoke rising from it. The fire appears to be contained within a confined space, possibly a metal grate or a similar structure."
new_images/image1241.jpg,controlled fire,"A person is sitting on a couch with flames burning around them, likely performing a fire show or demonstration."
new_images/image1243.jpg,controlled fire,"The image shows a close-up of a campfire with flames and marshmallows being roasted. The background is dark, suggesting it might be nighttime or in a dimly lit area."
new_images/image1244.jpg,dangerous fire,"The image depicts a room with a window that is on fire. Flames are visible through the window, and there is smoke emanating from the window and radiator below it. The room has two chairs, a table, and some framed pictures on the walls."
new_images/image1245.jpg,dangerous fire,"The image shows a close-up view of a wall with a plug inserted into an electrical outlet. The plug is connected to a cord that appears to be burning, with flames visible at the end of the cord. The background is dark, emphasizing the fire."
new_images/image1259.jpg,controlled fire,"The image shows an outdoor patio setting with a wicker sectional sofa adorned with patterned throw pillows. In front of the sofa is a rectangular fire pit with flames burning brightly. The area is decorated with lanterns and potted plants, creating a cozy and inviting atmosphere."
new_images/image1261.jpg,dangerous fire,A van is engulfed in flames with thick black smoke billowing out from the front left side. The vehicle appears to be on a highway with trees and a fence visible in the background.
new_images/image1264.jpg,controlled fire,"A person holding a black object with a bright flame coming out of it, surrounded by a white, textured surface."
new_images/image1265.jpg,controlled fire,"The image shows a modern outdoor setting with two black wicker chairs placed on a wooden deck. In the center, there is a round metal fire pit with flames rising from it, emitting a warm glow. The background features a wooden wall."
new_images/image1266.jpg,dangerous fire,"The image shows a dimly lit bedroom with a bed covered in a blanket. There is a fire burning under the bed, with flames visible through the window. The room appears to be in disrepair, with peeling paint on the walls and a broken lamp."
new_images/image1267.jpg,dangerous fire,"The image shows two motorcycles engulfed in flames, with bright orange and yellow flames consuming the vehicles. The motorcycles appear to be stationary, and the fire is intense, indicating a dangerous fire situation."
new_images/image1268.jpg,controlled fire,"A bonfire burning brightly on a sandy beach at sunset, with the sky transitioning from orange to purple hues."
new_images/image1269.jpg,dangerous fire,"The image shows a garage with various tools and equipment, including a workbench and shelves. A large tire is burning intensely, emitting thick black smoke and flames. There is also a hose on the ground."
new_images/image1270.jpg,controlled fire,"The image shows a traditional stove with a pot on top, surrounded by wood and embers glowing red-hot. The setting appears to be a rustic, possibly rural area with woven bamboo walls."
new_images/image1271.jpg,controlled fire,"The image shows a close-up of a lit lighter with a flame emerging from it. The lighter is placed on a textured surface, possibly a piece of wood or a similar material, and the flame is clearly visible against a dark background."
new_images/image1272.jpg,dangerous fire,"The image shows a building on fire with flames and smoke billowing out from the windows. There is a sign in front of the building that reads '学一分度量知识 多一分安全保障' (Learn one degree of knowledge, add one safety measure). Several cars are parked outside the building, including a white car, a red SUV, and a black car."
new_images/image1273.jpg,controlled fire,"The image shows a close-up of numerous lit candles with flames burning brightly. The candles are arranged in a circular pattern on a cake, creating a festive atmosphere."
new_images/image1274.jpg,controlled fire,"The image shows a group of people gathered around a campfire at night. The campfire is emitting smoke and sparks, and there are tents and other camping equipment visible in the background."
new_images/image1276.jpg,no fire,"The image shows a cozy indoor setting with a laptop displaying a fire scene on its screen. The laptop is placed on a wooden desk next to a pen and a notebook. In the background, there is a bookshelf filled with books, a chair with a patterned cushion, and a potted plant near a window with curtains."
new_images/image1277.jpg,no fire,The image shows a framed artwork depicting a vibrant scene of flames against a dark background. The frame is gold-colored with a decorative border.
new_images/image1278.jpg,controlled fire,"The image depicts a vibrant painting of a fire with flames and smoke. The background is a mix of red, orange, and yellow hues, creating a dynamic and intense atmosphere."
new_images/image1281.jpg,controlled fire,"A birthday cake with lit candles spelling out 'BIRTHDAY', with one candle partially consumed by flames."
new_images/image1285.jpg,no fire,"The image shows a cozy bedroom with a bed covered in white bedding. On the nightstand next to the bed, there is a laptop displaying a fireplace screen, and a stack of books. The room has soft lighting from a lamp and a window with curtains."
new_images/image1286.jpg,controlled fire,"The image shows three women performing with fire torches at night. The background is dark, and there are visible flames and smoke around them."
new_images/image1287.jpg,dangerous fire,"The image depicts a cozy living room with a Christmas tree adorned with lights and ornaments. The tree is on fire, with flames engulfing it and spreading to nearby presents. The room has a warm ambiance with string lights hanging from the windows and a fireplace in the background."
new_images/image1288.jpg,dangerous fire,"The image shows a building engulfed in flames with intense heat and smoke billowing out from the windows and roof. The structure appears to be in a state of disrepair, with visible damage and debris."
new_images/image1289.jpg,no fire,A group of dancers performing with flaming torches on a sports field at night.
new_images/image1290.jpg,dangerous fire,"The image shows a cluttered room with various items such as clothes hanging, a teddy bear, a lamp, and shelves. There is a visible fire burning under a canopy bed, with flames and smoke rising from it."
